アイケア点眼液,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイケア点眼液,アイケアテンガンエキ,アイケアテンガンエキ,8/10,*,あ[いけあてんがん]えき
Ｉ細胞病,1348,1348,8000,名詞,固有名詞,一般,*,*,*,Ｉ細胞病,アイサイボウビョウ,アイサイボウビョウ,6/8,*,あ[いさいぼうび]ヨう
アイスデン錠,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイスデン錠,アイスデンジョウ,アイスデンジョウ,7/7,*,あ[いすでん[じ]ヨう
アイスフラット懸濁内服用,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイスフラット懸濁内服用,アイスフラットケンダクナイフクヨウ,アイスフラットケンダクナイフクヨウ,4/17,*,あ[いすふら]っとけんだくないふく]よう
アイスフラット懸濁用配合顆粒,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイスフラット懸濁用配合顆粒,アイスフラットケンダクヨウハイゴウカ,アイスフラットケンダクヨウハイゴウカ,4/18,*,あ[いすふら]っとけんだくようはいご]うか
アイセントレス錠,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイセントレス錠,アイセントレスジョウ,アイセントレスジョウ,7/9,*,あ[いせんとれすじ]ヨう
アイソボリン点滴静注用,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイソボリン点滴静注用,アイソボリンテンテキジョウチュウヨウ,アイソボリンテンテキジョウチュウヨウ,13/16,*,あ[いそぼりんてんてきじヨうちユう]よう
アイタント錠,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイタント錠,アイタントジョウ,アイタントジョウ,5/7,*,あ[いたんとじ]ヨう
アイデイト錠,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイデイト錠,アイデイトジョウ,アイデイトジョウ,7/7,*,あ[いでいと[じ]ヨう
アイミクス配合錠ＨＤ,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイミクス配合錠ＨＤ,アイミクスハイゴウジョウ,アイミクスハイゴウジョウ,9/11,*,あ[いみくすはいごうじ]ヨう
アイミクス配合錠ＬＤ,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイミクス配合錠ＬＤ,アイミクスハイゴウジョウ,アイミクスハイゴウジョウ,9/11,*,あ[いみくすはいごうじ]ヨう
アイラックス錠,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイラックス錠,アイラックスジョウ,アイラックスジョウ,2/8,*,あ[いら]っくす[じ]ヨう
アウドラザイム点滴静注液,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アウドラザイム点滴静注液,アウドラザイムテンテキジョウチュウエキ,アウドラザイムテンテキジョウチュウエキ,14/17,*,あ[うどらざいむてんてきじヨうちユう]えき
アエレックスカプセル,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アエレックスカプセル,アエレックスカプセル,アエレックスカプセル,2/10,*,あ[えれ]っくすかぷ]せる
