あああ,1348,1348,8000,名詞,固有名詞,一般,*,*,*,あああ,アアア,アアア,0/3,*,あ[ああ
ああああ,1348,1348,8000,名詞,固有名詞,一般,*,*,*,ああああ,アアアア,アアアア,0/4,*,あ[あああ
阿麻央真,1348,1348,8000,名詞,固有名詞,一般,*,*,*,阿麻央真,アアサオウマ,アアサオウマ,4/6,*,あ[あさお]うま
ああ!ジャン・ルイがやられた!,1348,1348,8000,名詞,固有名詞,一般,*,*,*,ああ!ジャン・ルイがやられた!,アアジャンルイガヤラレタ,アアジャンルイガヤラレタ,0/11,*,あ[あじヤんるいがやられた
嗚呼、素晴らしきニャン生,1348,1348,8000,名詞,固有名詞,一般,*,*,*,嗚呼、素晴らしきニャン生,アアスバラシキニャンセイ,アアスバラシキニャンセイ,9/11,*,あ[あすばらしきにヤん]せい
あ、安部礼司,1348,1348,8000,名詞,固有名詞,一般,*,*,*,あ、安部礼司,アアベレイジ,アアベレイジ,4/6,*,あ[あべれ]いじ
ああ!窓に!窓に!,1348,1348,8000,名詞,固有名詞,一般,*,*,*,ああ!窓に!窓に!,アアマドニマドニ,アアマドニマドニ,0/8,*,あ[あまどにまどに
あ…ありのまま 今 起こった事を話すぜ!,1348,1348,8000,名詞,固有名詞,一般,*,*,*,あ…ありのまま 今 起こった事を話すぜ!,アアリノママイマオコッタコトヲハナスゼ,アアリノママイマオコッタコトヲハナスゼ,9/19,*,あ[ありのままいまおこ]ったことをはなすぜ
相合学舎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,相合学舎,アイアイガクシャ,アイアイガクシャ,6/7,*,あ[いあいがく]しヤ
愛愛名中,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛愛名中,アイアイメイチュウ,アイアイメイチュウ,6/8,*,あ[いあいめいち]ユう
あいあか,1348,1348,8000,名詞,固有名詞,一般,*,*,*,あいあか,アイアカ,アイアカ,2/4,*,あ[い]あか
アイ・アム・アトミック,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイ・アム・アトミック,アイアムアトミック,アイアムアトミック,6/9,*,あ[いあむあとみ]っく
Iron,1348,1348,8000,名詞,固有名詞,一般,*,*,*,Iron,アイアン,アイアン,0/4,*,あ[いあん
アイアンキング,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイアンキング,アイアンキング,アイアンキング,5/7,*,あ[いあんき]んぐ
アイアンコング,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイアンコング,アイアンコング,アイアンコング,5/7,*,あ[いあんこ]んぐ
アイアン・ジャイアント,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイアン・ジャイアント,アイアンジャイアント,アイアンジャイアント,0/9,*,あ[いあんじヤいあんと
アイアン・スカイ,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイアン・スカイ,アイアンスカイ,アイアンスカイ,5/7,*,あ[いあんす]かい
